Body_Part,Transform
Body_Root,Root
Body_Hips,Hips
Body_SpineLower,SpineLower
Body_SpineMiddle,SpineMiddle
Body_SpineUpper,SpineUpper
Body_Chest,Chest
Body_Neck,Neck
Body_Head,Head
Body_LeftShoulder,LeftShoulder
Body_LeftScapula,None
Body_LeftArmUpper,LeftArmUpper
Body_LeftArmLower,LeftArmLower
Body_LeftHandWrist,None
Body_LeftHandPalm,None
Body_LeftHandWrist,LeftHandWrist
Body_LeftHandThumbMeta,LeftHandThumbMeta
Body_LeftHandThumbProximal,LeftHandThumbProximal
Body_LeftHandThumbDistal,LeftHandThumbDistal
Body_LeftHandThumbTip,LeftHandThumbTip
Body_LeftHandIndexMetacarpal,None
Body_LeftHandIndexProximal,LeftHandIndexProximal
Body_LeftHandIndexIntermediate,LeftHandIndexIntermediate
Body_LeftHandIndexDistal,LeftHandIndexDistal
Body_LeftHandIndexTip,LeftHandIndexTip
Body_LeftHandMiddleMetacarpal,None
Body_LeftHandMiddleProximal,LeftHandMiddleProximal
Body_LeftHandMiddleIntermediate,LeftHandMiddleIntermediate
Body_LeftHandMiddleDistal,LeftHandMiddleDistal
Body_LeftHandMiddleTip,LeftHandMiddleTip
Body_LeftHandRingMetacarpal,None
Body_LeftHandRingProximal,LeftHandRingProximal
Body_LeftHandRingIntermediate,LeftHandRingIntermediate
Body_LeftHandRingDistal,LeftHandRingDistal
Body_LeftHandRingTip,LeftHandRingTip
Body_LeftHandLittleMetacarpal,None
Body_LeftHandLittleProximal,LeftHandPinkyProximal
Body_LeftHandLittleIntermediate,LeftHandPinkyIntermediate
Body_LeftHandLittleDistal,LeftHandPinkyDistal
Body_LeftHandLittleTip,LeftHandPinkyTip
Body_RightShoulder,RightShoulder
Body_RightScapula,None
Body_RightArmUpper,RightArmUpper
Body_RightArmLower,RightArmLower
Body_RightHandWrist,None
Body_RightHandPalm,None
Body_RightHandWrist,RightHandWrist
Body_RightHandThumbMeta,RightHandThumbMeta
Body_RightHandThumbProximal,RightHandThumbProximal
Body_RightHandThumbDistal,RightHandThumbDistal
Body_RightHandThumbTip,RightHandThumbTip
Body_RightHandIndexMetacarpal,None
Body_RightHandIndexProximal,RightHandIndexProximal
Body_RightHandIndexIntermediate,RightHandIndexIntermediate
Body_RightHandIndexDistal,RightHandIndexDistal
Body_RightHandIndexTip,RightHandIndexTip
Body_RightHandMiddleMetacarpal,None
Body_RightHandMiddleProximal,RightHandMiddleProximal
Body_RightHandMiddleIntermediate,RightHandMiddleIntermediate
Body_RightHandMiddleDistal,RightHandMiddleDistal
Body_RightHandMiddleTip,RightHandMiddleTip
Body_RightHandRingMetacarpal,None
Body_RightHandRingProximal,RightHandRingProximal
Body_RightHandRingIntermediate,RightHandRingIntermediate
Body_RightHandRingDistal,RightHandRingDistal
Body_RightHandRingTip,RightHandRingTip
Body_RightHandLittleMetacarpal,None
Body_RightHandLittleProximal,RightHandPinkyProximal
Body_RightHandLittleIntermediate,RightHandPinkyIntermediate
Body_RightHandLittleDistal,RightHandPinkyDistal
Body_RightHandLittleTip,RightHandPinkyTip
